Estructura,Insercion,Busqueda,Eliminacion,Actualizacion
Pila,O(1),O(n),O(n),O(1)
Cola,O(1),O(n),O(n),O(1)
Lista,O(1),O(n),O(n),O(1)
Arbol,O(log n),O(log n),O(log n),O(log n)
Pila,O(1),O(n),O(n),O(1)
Cola,O(1),O(n),O(n),O(1)
Lista,O(1),O(n),O(n),O(1)
Arbol,O(log n),O(log n),O(log n),O(log n)
Pila,O(1),O(n),O(n),O(1)
Cola,O(1),O(n),O(n),O(1)
Lista,O(1),O(n),O(n),O(1)
Arbol,O(log n),O(log n),O(log n),O(log n)
Pila,O(1),O(n),O(n),O(1)
Cola,O(1),O(n),O(n),O(1)
Lista,O(1),O(n),O(n),O(1)
Arbol,O(log n),O(log n),O(log n),O(log n)
Pila,O(1),O(n),O(n),O(1)
Cola,O(1),O(n),O(n),O(1)
Lista,O(1),O(n),O(n),O(1)
Arbol,O(log n),O(log n),O(log n),O(log n)
